0.1,0.15,0
0.12,0.15,1
0.12,0.2,3
0.1,0.2,5
0.13,0.2,4
0.12,0.15,1
0.12,0.2,3
0.1,0.2,5
0.13,0.2,4
0.11,0.14,2
0.12,0.15,1
0.12,0.2,3
0.1,0.2,5
0.13,0.2,4
0.12,0.15,1
0.12,0.2,3
0.1,0.2,5
0.13,0.2,4
0.11,0.14,2
0.12,0.15,1
0.12,0.2,3
0.1,0.2,5
0.13,0.2,4
0.12,0.15,1
0.12,0.2,3
0.1,0.2,5
0.13,0.2,4
0.11,0.14,2
0.12,0.15,1
0.12,0.2,3
0.1,0.2,5
0.13,0.2,4
0.12,0.15,1
0.12,0.2,3
0.1,0.2,5
0.13,0.2,4
0.11,0.14,2
0.12,0.15,1
0.12,0.2,3
0.1,0.2,5
0.13,0.2,4
0.12,0.15,1
0.12,0.2,3
0.1,0.2,5
0.13,0.2,4
0.11,0.14,2
